,narrative,Product
542197,"I just found out when I applied for a loan, someone opened up a XXXX phone in my name back in XXXX XXXX they left a balance of {$2400.00}. I am disputing this debt for it is not mine. ( XXXX )",Credit reporting
1008789,unlawfully add inquiry to my score,"Credit reporting, credit repair services, or other personal consumer reports"
626099,I never lived outside the state of XXXX except for when I was in the XXXX and then it was not in the state of XXXX. XXXX was in XXXX and my XXXX was in XXXX and I was station in XXXX. I never lived in XXXX. I reported this to the credit bureau once before.,Credit reporting
452313,"I incurred debt on a WalMart Mast Card. I have financial difficulties and XXXX XXXX XXXX , XXXX set up 6 months of payments at {$150.00} per moth for 48 months. They made me do this via automatic withdrawal from my bank account. I have to re-set this up every 6 months with new check numbers. Last month they took the {$150.00} with chk # XXXX. Then 3 days later they took another {$150.00} without my permission from WalMart ACH online. I repeat, I did not do anything online. I called my bank and filled out a form and I got my {$150.00} back. Now for this months payment on XX/XX/XXXX they took out {$150.00} again and it says WalMart MC ACH. There was no Chk # XXXX. So yesterday, I called the number given to me and after speaking with XXXX people I was told that my amount due was paid in full for this month and it should be fine. So, today I went online to my bank and saw that I was charged {$30.00} for NSF because they tried to take out another {$150.00}. After a long conversation with my bank. I decided to go ahead and pay ( the bank ) {$20.00} to stop them from trying to take Chk # XXXX again and another {$20.00} to stop future WalMart MC ACH withdrawals. I then called The WalMart MC Customer service number on the letter I get each month. and all the girl kept saying was that I was not enrolled in their automatic withdrawal. I then was transferred to another guy and I explained this all over again and he eventually put me on hold for a while. While on hold, the phone was picked up at two different times and they ended up hanging up on me! I am very frustrated. Each and every time I call they say that it is recorded for debt collection purposes. Is there some way I can be helped. I do not want to pay extra money that I do not have.",Debt collection
265260,"I 've contacted  XXXX ,  XXXX  and  Transuion  in regards to some incorrect and fraudulent accounts. I sent in my police report my identification documents and so forth. I 've contacted the creditors who havemt responded so this is my  last str  eet  before taking it to civil or federal court. They have broken the law. Not marking my accounts disputed within 30 days, refusing to send me information regarding disputes or disputes validated, refusing to send validation information or methods and so forth. I 've disputed these accounts numerous times by certified mail and they have not been properly handled or responded too. I 've kept close documentation of communication and recorded conversation pulled.","Credit reporting, credit repair services, or other personal consumer reports"
55996,"Hello, I am writing as what I would consider me being a "" valued '' cusrtomer of yours. I have been a XXXX member since XX/XX/2015. My last line increase was over 6 months ago. 
I am wondering when I will be allowed to obtain another limit increase? Everytime I attempt to do this online, the system shoots back a letter that tells me : there has recently been a change. How recent? 
I am disappointed and want to know when you 'll be granting me my 6 month line increase? 

Thank you, -XXXX",Credit card
697541,"My loan was purchased by Nationstar Mortgage LLC and they later stated that they did not have my home insurance escrowed as it was with the previous lender, XXXX XXXX XXXX. I had to pay my home insurance out-of-pocket. 
They took over a year to tell me that my escrow balance was deficient. 
My servicer agent told me he would call me back and let me know if I was eligible for assistance under any of the government programs ( ie. HAMP ) and did not. Next thing I received was a letter from their attorneys saying my loan was referred for foreclosure.",Mortgage
655440,"I have ditech mortgage company. I fell behind on my payments due to losing my job. Once I got my tax return and a new job, I was put on a payment plan of 4 months. I was told it could go up to 6 months. First problem was when I asked for 6 months they said ok and it would be reflected on my account in a few days. A week later it still wasnt. I was told to pay on the new plan anyway and set up payments with one of their reps for the next two weeks. They rep put the information in wrong. When I called in about it, I was told to make a payment that day and then I could be set up on a new payment plan for 6 months. I made the payment and now they are telling me they need another payment before they can put me on a new payment plan. The new payment is {$2100.00}, if I had that kind of money I would n't have this problem. Every time I call this company I get different answers from different people including supervisors. I think they are just in the business to foreclose on homes and sell them. Please do something about them.",Mortgage
520946,I had an account with XXXX rental out was paid off but still coming up as a negative on my report.,Credit reporting
894541,"I was upset after I looked at my XXXX, XXXX and XXXX credit reports and discovered that I was reported as having a late payment on the date below : 30 days past due as of XXXX 2017 I already disputed this with the credit bureaus and they verified it as being accurate. I am not sure how this took effect, I thought that I had made my payments to you on time when I received my statements. My only thought is that my monthly statement did not get to me or maybe an error occurred where it was n't recorded on time.",Vehicle loan or lease
235248,"One Company put in my credit Report a Debt for XXXX dollars for XXXX time. 
XXXX time i did a claim in the All of XXXX Credit Buro : The Result was : DELETED THE ACCOUNT. This account do n't belong to me or was Used my name. 
XXXX Time : The Collection Company tried to Put again this Debt in My Credit Report. I did a Claim and the Result : The Account was deleted. XXXXAnd Today XXXX/XXXX/XXXX i was checking my credit report and appear again this account. Equifax do n't send any information why or the reason that this Collection appear again in MY CREDIT REPORT. 
I need your Protection for eliminated this account for ever of my Credit Report. And Also put the penalty for Equifax because do n't obey the Law for reinsert Collection deleted for XXXX time. Of course the worst situation is They had proof for my XXXX claim that this Debt is n't mine.",Credit reporting
215485,"I spoke with XXXX XXXX form Bank America on XX/XX/2015 at XXXX XXXX. I informed her I was being represented by an attorney, and she needed to speak with my attorney. She continued to assert information when I again directed her to speak with my counsel. She asked me if I received a letter from the Bank, and I told her no letter was received to date on this account. It has been over 5 Working Days. I am requested harassing phone call stop since I am being represented by an Attorney and all communication be in writing to verify accuracy of information received or communication with counsel. The Attorney of Record is : XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX NY XXXXTel : XXXXFax : XXXX",Bank account or service
466232,I have sent plenty of letters asking this debt collection agency to verify my debt they will not respond to me.,Debt collection
883333,X/XX/2017 XXXX XXXX Once again a major mess with Experian and one takes days to get through to them then transferred around the horn. Tried to get temp access to code so bank can pull credit. Could not get through again WAIT AGAIN! WAITING. AGAIN!!!! 1- XXXX UPDATED EXPERIAN XXXX XXXX INCORRECT REPORTING ME LATE- BACK TO GROUND ZERO. EXPERIAN WAS TO UPDATE ALL OTHER AGENCIES- I GUESS THEY FAILED AGAIN. 2- WANTED A TEMP NUMBER SO A BANK COULD PULL CREDIT. 3- NEGATIVE CREDIT POSTED IMMEDIATELY- AMAZING- GETTING NEGATIVES CORRECTED 60-90 DAYS -- 4- BEING DENIED CREDIT SINCE XXXX XXXX READY TO SUE ALL!,"Credit reporting, credit repair services, or other personal consumer reports"
549406,"On XX/XX/XXXX, and as a last resort and after numerous attempts to resolve the dispute directly with the merchant, I called Home Depot Credit Card Customer Service to dispute an amount of {$3600.00} from my bill of XX/XX/XXXX. The agent never asked me for the reason for the dispute but, never the less, took all my information. Sometime in XX/XX/XXXX, I received the very correspondence from Home Depot Credit Services in a form of a letter dated XX/XX/XXXX. The very second sentence in their letter read the following : "" We 've previously confirmed receipt of your inquiry regarding the dispute charges of {$3600.00}. '' Ironically, and in spit of my numerous attempts, I am yet to receive neither the original not a copy of the method through which they "" confirmed ... ... '' The case once again went dormant. Then sometime in XX/XX/XXXX, I received from Home Depot Credit Services a letter dated XX/XX/XXXX. The very XXXX sentence in this letter was the following : "" This is to advise you that the disputed amount of {$3600.00} will be provisionally credited to The Home Depot Credit Card account referenced above. '' However, few months later, I noticed that my balance increased significantly. When I did my calculations, I discovered that the difference was {$3600.00}. However, I never received an explanation. After my numerous inquiries, I finally received a letter from Home Depot Credit Services dated XX/XX/XXXX. The XXXX sentence in this letter was an acknowledgment to my inquiry. The second sentence in this letter read the following : "" This inquiry needs to be handled directly by the Home Depot Customer Care. '' the letter only included a telephone number to H.D. Customer Care. I am literally still reeling from this experience. Please help me with this situation. Thank you very much for your attention to this matter. 
Sincerely, XXXX XXXX XXXX XXXX XXXX 
XXXX, VA XXXX",Credit card
532558,"Reporting as open and late payments. This account was charge off by original creditor. This violates FDCPA 15 USC 1692 XXXX ( 2 ) a, ( 8 ), ( 10 ) and 1692f. by using deceptive reporting to attempt to collect a debt and negative influence creditors that are looking at my credit. I already file a dispute with all XXXX major credit bureau. 
The companies are : XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX ( XXXX ) XXXX XXXX XXXX, XXXX ( XXXX ) XXXX",Debt collection
116591,Financed a truck the sales contract was never given to me by finance company was not the original contract and trade listed was never traded in it was fraudulent sales contract and trade in vehicle was sold unregistered in the state of California,Consumer Loan
968338,"Deferment was supposed to be backdated to when payments where missed according to the customer service representative. The dates are XXXX, XXXX, XXXX, andXX/XX/XXXX. I requested my credit report on XXXX XXXX XXXX and noticed 4 missed payments on my credit report. The company keep giving me the run around everything I call. I have decided to reach ou to the CEO of XXXX. I was going through XXXX XXXX during that time but applied for a deferment that was supposed to be backed dated to the missed payments. My account was in good standing before and after those 4 late payments appeared that are n't supposed to be there.","Credit reporting, credit repair services, or other personal consumer reports"
187795,"The bank used their legal firm to file a Sheriff 's Sale Foreclosure against myself wrongfully. Attempted to contact both the bank and their legal representative multiple times to notify that they are picking on the wrong person. In this case I am actually an innocent relative of one of the persons named in this suit. The legal firm, nor the bank have issued a retraction or apology. I was not a resident at the time the defaulted loan was issued.",Debt collection
109268,"I have had an issue with XXXX regarding a double charge XXXX for the sample flight. After numerous and multiple conversations, they promised they would take care of this issue. After years of speaking with them and repeating my issue, they did not provide me the required information. I have filed a claim in the past, case number XXXX. I was unable to get my phone recordings or get in touch with someone. 

That said, I have been contacted by XXXX ( employee ID : XXXX ), from Nationwide Credit Inc . I have been very responsive with him and requested I get written copies verifying who is he and his company is, as well as providing me with a form in the mail. Based on the last conversation, XXXX was the company who was contacting me, now it is a different company. 

It has been over two weeks since my last contact with Nationwide Credit Inc and still no letter. I am not clear who is responsible for this case anymore.",Debt collection
67918,"Bankruptcy CHXXXX in XXXX, last payments XXXX XXXX. Had acct XXXX XXXX in XXXX. Paid XXXX XXXX. I do n't remember this but Bankruptcy CR in XXXX XXXX showed another loan opened in XXXX XXXX for {$15000.00}. This XXXX not shown on XXXX XXXX XXXX. Payments were made to XXXX thru the court starting XXXX XXXX with last being XXXX XXXX. This acct not shown on XXXX XXXX XXXX. As of XXXX XXXX a new account appeared delinquent on XXXX from Ditech, opened in "" XXXX XXXX '' last pymnt XXXX XXXX, charged off {$10000.00} "" reported XXXX XXXX '' meaning they are re aging this as well as claiming the account as theirs. Nothing stating it was in Bankruptcy.",Debt collection
978331,"I was contacted by XXXX XXXX who said they were going to get my student loans consolidated and forgiven. They set up a payment plan with Equitable Acceptance Corporation. This was XX/XX/2017. A few days later I realized they were a scam. I contacted XXXX XXXX. They refused to do anything about it and said I should have canceled within three days of signing the contract. I called Equitable Acceptance Corporation. They said there was nothing they could do about it. They are a scam too. It is now on my credit report that I owe {$1200.00} to Equitable Acceptance Corporation. I have tried to challenge it with Equifax with my credit report, but Equitable Acceptance Corporation still says I owe the money. This is XXXX! Corporations like this taking advantage of consumers. It's FRAUD!",Debt collection
910157,"SOUTHWEST CREDIT SYSTEMS LP has issued a collections to all XXXX credit reporting agencies. I called and when I called they said it was a bill from XXXX XXXX XXXX - this is not possible as I have been a XXXX year client of XXXX XXXX XXXX in good standing. When I asked for more specific information I was passed to XXXX different people - all of whom said it was a XXXX XXXX XXXX bill. When I had said this was not possible and they needed to remove it from my credit report I was told "" We understand, but we ca n't do that '' - I insisted they could. I was passed up the food chain and was told the same thing - on the XXXX person I was then told that this was not a XXXX bill, but rather a XXXX bill from over XXXX years ago. I left XXXX years and years and years ago and said I had no bill and could they show me the bill and why were they saying XXXX XXXX XXXX? I then was told that this was fraud and they would sent a packet in the mail - the packet insist I file a police report and supply a substantial amount of documentation. This is all very much not above board - I was given wrong information, given improper information on my rights, they do n't have a bill - How can I file a police report from a bill from over 5 years ago of which no one can get me a copy of said bill? Also, no answer has been given about the XXXX XXXX XXXX bill which is what XXXX of their agents told me prior - lastly, saying "" we ca n't do anything on the credit report '' - when they issued it, do n't know what outstanding bill there may or may not be - is very troubling. Only because I knew my rights was this issue escalated and even now - they have no bill and no information.",Debt collection
241621,"In XXXX I was contacted by The Advantage Group claiming I owed a debt ( {$1200.00} ) to the XXXX for when they brought me to the hospital in XXXX XXXX ( after hospital admittance I had my XXXX. I would later return for my XXXX in XXXX XXXX. ) After I received a bill for the ambulance ride, I contacted XXXX and they said they would pay and not to worry about a thing. Imagine my surprise when a year and half later ( XXXX XXXX ) a debt collection company is calling me. I contact XXXX and they said they had sent me a check to pay the XXXX, I told them that I never received a check and that was verified because their accounts showed that the check had NOT been cashed. They said they would cancel the check and send out a new one immediately. Weeks go by and I still have not received a new check. I call and they say do n't worry, it has to go through their finance department and it would be sent out soon. This exchange would continue for a couple more months until finally someone at XXXX tells me the entire check has been cancelled and the MONEY HAS BEEN RETURNED TO YOUR GROUP. The end. They can no longer help me. So I contact the Benefits representative at the company I used to work for, XXXX XXXX ( XXXX XXXX ), XXXX XXXX. I explain the situation to her and she says she will figure it out for me. A week goes by and I hear nothing. I start calling her on a WEEKLY basis trying to get some sort of answer, every time she answers ( when she answers ) she responds with "" I have your number, I will call you. '' The last time I talked to her was in XXXX. In the meantime the debt collector informs me that they have reported it to the major credit bureaus and the debt amount is increasing. I verify this information- and sure enough, they have dinged my credit. So I pay the debt, ( now {$1400.00} due to late penalties ) hoping that they will take the report off of my credit as soon as possible. I have been working on my excellent credit for 15 years. There is some sort of LIMBO between XXXX XXXX and XXXX and neither one is budging on refunding my money and correcting the blemish on my credit. What I think happened was XXXX up and did n't realize they had an outstanding check that had not been cashed for over a year, and upon realizing their mistake, they cancelled the entire thing and left me without a way to pay the XXXX. THEY were supposed to pay them- they already had a check ready to go, but for some reason I never received it. And instead of issuing me a new check, they supposedly gave it to my benefits group- to a company that I no longer work for and I have to pay for this debt that IS NOT MINE out of my own pocket and take a credit hit for it.",Debt collection
